link,headline,category,short_description,authors,date
https://www.huffingtonpost.com/entry/joshua-boyle-facing-charges_us_5a4c0473e4b06d1621bb7aff,"Former Hostage Joshua Boyle Facing 15 Charges, Including Assault",WORLD NEWS,The Canadian and his family were held captive by a Taliban-linked group for five years before being freed by Pakistani forces in October.,Doha Madani,2018-01-03
https://www.huffingtonpost.com/entry/solar-energy-regulation_b_6231678.html,Do We Risk Having Two-Tier Access to Renewable Energy?,GREEN,"Solar energy access in the United States varies wildly from state to state. Texas gets enough sunlight per year to power the entire world via solar energy, and yet has one of the lowest solar capacities in the country. At the heart of it is state-level regulatory policy.","Ella Jameson, ContributorWriter & Blogger",2014-12-01
https://www.huffpost.com/entry/useful-mothers-day-gifts-for-older-moms-theyll-actually-use_l_5ea0ace0c5b69150246ce917,13 Useful Mother's Day Gifts For Moms She'll Actually Use,PARENTING,"If you're shopping for your mom this Mother's Day, here are a few recommendations that aren't flowers.",Danielle Gonzalez,2020-04-27
https://www.huffingtonpost.com/entry/why-would-a-kid-do-this_us_5b9d10ace4b03a1dcc84369e,Why Would A Kid Do This?,PARENTING,"""Mommy,"" he said, ""I accidentally turned on the news. I saw the guy."" He paused for a minute before continuing. ""Mommy, he looked like he was a teenager. That's a kid, isn't it? Why would a kid do this?""","Erica Zidel, Contributor
Boston native and founder of SittingAround.com",2013-04-19
https://www.huffingtonpost.com/entry/greater-than-everest_us_5b9bb5dee4b03a1dcc79c718,Meeting A Survivor On Everest (PHOTOS),TRAVEL,"There were yak traffic-jams, forests of flowers and children playing with tires around yak-dung fires. At night the sky opened, a ceiling punctured by the brightest stars I had ever seen.","Richard Wiese, Contributor
Host of Born to Explore",2012-05-15
https://www.huffingtonpost.com/entry/vw-recalls-letters-from-april-warning-an-emissions-glitch_us_560427f8e4b08820d91bf089,VW Sent Customers Letters In April Warning Of Emissions Glitch,BUSINESS,"In April of 2015, Volkswagen of America, Inc. (VOWG_p.DE) sent letters to California owners of diesel-powered Audis and Volkswagens","Alexandria Sage, Reuters",2015-09-24
https://www.huffingtonpost.com/entry/france-presidential-election-voting-to-begin_us_58fbf034e4b018a9ce5bd3b8,France To Begin First Round Of Cliffhanger Presidential Election,THE WORLDPOST,Polling begins on Sunday for the first round of a bitterly fought presidential election.,"Ingrid Melander, Reuters",2017-04-23
https://www.huffingtonpost.com/entry/two-weddings_us_5b9cb430e4b03a1dcc81091f,Two Weddings,DIVORCE,Any objective semi-conscious observer could have seen that I didn't want to get married the first time I got engaged.,"Jessica Wernz, Contributor
mother, stepmother, writer, runner.",2013-01-19
https://www.huffingtonpost.com/entry/emilia-romagna-a-revelato_us_5b9cdd52e4b03a1dcc8288c9,"Emilia-Romagna, a Revelation",TRAVEL,"If pasta is considered the iconic comfort food, then it is Emilia Romagna we must thank for placating our palates with tortellini, tagliatelle, lasagne and cappelletti.","Erica Firpo, Contributor
Travel Journalist based in Rome, Italy",2013-03-07
https://www.huffingtonpost.com/entry/surfer-finds-ring-35-years_n_6448176.html,Surfer Finds Ring 35 Years After He Lost It,WEIRD NEWS,,Simon McCormack,2015-01-10
https://www.huffingtonpost.com/entry/veteran-honored-nfl-protests_us_59cf0bb1e4b09538b5086602,Air Force Veteran: 'I Feel Deeply Honored' When NFL Players Take A Knee,POLITICS,Some say kneeling during the national anthem disrespects the military. One vet strongly disagrees.,Carla Herreria,2017-09-30
https://www.huffingtonpost.com/entry/university-of-pennsylvania-street-style_us_5b9ccf5de4b03a1dcc820df3,The University of Pennsylvania's Diverse Student Body and Even More Diverse Wardrobe,STYLE & BEAUTY,"While the Wharton business fashionisto may wear a tweed sport coat and carry a matte black briefcase to class, the College English major may be spotted in a pair of Warby Parkers carrying a vintage brown leather satchel.","CollegeFashionista, Contributor
Fashion blog site",2013-02-14
https://www.huffingtonpost.com/entry/factory-jobs-trump-wants-to-save_us_59482c2ce4b07499199ddc2f,The Underappreciated Downside Of Those Factory Jobs Trump Wants To Save,POLITICS,"Politicians love to talk about bringing back America's manufacturing jobs. But even the good ones can have long, bad hours.",Arthur Delaney,2017-06-20
https://www.huffingtonpost.com/entry/carb-cravings_us_5b9c7637e4b03a1dcc7ee5eb,Can't Stop Craving Carbs?,WELLNESS,"Let's continue our exploration of cravings. In my last post, we discussed how stress causes us to crave carbs. I also mentioned that sometimes, simply being hungry will do the same since carbs readily convert to glucose.","Wendie Trubow, MD, MBA, Contributor
Functional Medicine Physician, Wellness Specialist, Coach, Blo...",2012-10-31
https://www.huffingtonpost.com/entry/lisbon-week_us_5b9d80b1e4b03a1dcc88d676,Lisbon Like You've Never Seen It,TRAVEL,"In Lisbon, for one week this September, you can become an explorer, seeing the city with its iconic sights in a completely different light. Lisbon Week offers seven themed routes. Here are some of the expected highlights","Jeanine  Barone, Contributor
Freelance Travel + Food Writer",2013-09-16
https://www.huffingtonpost.com/entry/long-island-record-shop-neo-nazi-merchandise_us_5ae9bdaee4b022f71a03dd5a,A Long Island Record Shop Selling Neo-Nazi Merch Gets Das Boot,POLITICS,Why did this weird little ode to white supremacy rear its ugly head in New York?,Andy Campbell,2018-05-04
https://www.huffingtonpost.com/entry/fathers-day_us_5b9bd822e4b03a1dcc7aad30,The Changing Face of Father's Day,WELLNESS,"No matter what the origin, Father's Day is a time to honor all the men who have given of themselves to raise healthy, conscious children. They may be biological fathers or not, men who have taken upon themselves to mentor and be role models.","Barbara Biziou, Contributor
Author, 'The Joy of Ritual' and 'The Joys of Family Rituals'",2012-06-14
https://www.huffingtonpost.com/entry/joe-biden-elizabeth-warren-democratic-debate_us_5617f5c6e4b0082030a25b02,Who Else Besides Joe Biden Might Crash The Debate?,POLITICS,CNN needs more buzz than Hillary vs. Bernie. Vegas needs more than Ocean's 6.,"Lauren Weber, Howard Fineman, and Jason Linkins",2015-10-12
https://www.huffingtonpost.com/entry/princess-athena-denmark-sunglasses_us_5b9cd2f0e4b03a1dcc822698,Princess Athena Of Denmark Wears The Best Sunglasses (PHOTOS),STYLE & BEAUTY,"No, but seriously -- are you ready? Because this baby is so darn cute, with cheeks so pinch-able and and skin so kissable",Ellie Krupnick,2013-02-13
https://www.huffingtonpost.com/entry/ben-carson-housing-and-urban-development_us_5835cb94e4b01ba68ac3d456,Ben Carson Considering Housing And Urban Development Secretary,POLITICS,A Carson aide said just last week that the retired neurosurgeon felt he wasn't qualified to accept a Cabinet role.,Kim Bellware,2016-11-23
https://www.huffingtonpost.com/entry/the-most-dangerous-scuba-_b_6699562.html,The Most Dangerous SCUBA Dives In The World,TRAVEL,What could be more thrilling than diving deep into the ocean among sea creatures and exploring sections of the earth few have seen before?,"The Active Times, Contributorwww.theactivetimes.com",2015-02-24
https://www.huffingtonpost.com/entry/skinny-dipper-kayak-san-jacinto-river-texas_us_56e55defe4b0b25c9182388c,Kayaker Rescues Naked Skinny Dipper Clinging To Riverside Tree,WEIRD NEWS,"""I thought, 'Oh please, don't let him drown!'""",Lee Moran,2016-03-13
https://www.huffingtonpost.com/entry/zombie-cat-celebrates-new-year_us_56896f0ae4b0b958f65bf0da,'Zombie Cat' Celebrates New Year's Eve Nearly One Year After Being Buried Alive,WEIRD NEWS,Bart entered 2016 with a positive health checkup and a chaotic year behind him.,Nina Golgowski,2016-01-03
https://www.huffingtonpost.com/entry/pennsylvania-supreme-court-impeachment_us_5a79cdb8e4b00f94fe95ade3,Pennsylvania Republican Wants Democrats On State Supreme Court Impeached Over Gerrymandering Decision,POLITICS,It's the latest in state GOP attacks on the court's integrity.,Sam Levine,2018-02-06
https://www.huffingtonpost.com/entry/lin-manuel-miranda-ellen-degeneres_us_5825ec17e4b0c4b63b0c4840,Lin-Manuel Miranda Freestyles About Life's Most Annoying Minor Inconveniences On 'Ellen',ARTS & CULTURE,Let LMM bring a smile to your face.,Priscilla Frank,2016-11-11
https://www.huffingtonpost.com/entry/halle-berry-malia-obama-pa_us_59868d5ce4b0cb15b1bef11b,Halle Berry Reveals The One Problem Malia Obama Had As A PA,ENTERTAINMENT,It's not easy being a production assistant when your dad is the President of the United States.,Carla Herreria,2017-08-06
https://www.huffingtonpost.com/entry/justin-timberlake-alfonso-ribeiro-golf-carlton_us_56c031a4e4b0b40245c6fd61,Justin Timberlake Dances 'The Carlton'... With Carlton,ENTERTAINMENT,The duo whipped the golf tournament crowd into a frenzy.,Lee Moran,2016-02-14
https://www.huffpost.com/entry/serena-williams-naomi-osaka-australian-open-2021_n_602c2ba6c5b62767c0aa89ea,Serena Williams Talks Preparing To Face 'Incredible Opponent' Naomi Osaka,U.S. NEWS,"“I feel like she does everything well,"" the 23-time Grand Slam singles title champion said about her fellow tennis superstar.",Kimberley Richards,2021-02-17
https://www.huffingtonpost.com/entry/the-december-19th-electoral-college-vote-must-be-postponed_us_584d8789e4b01713310511d5,The December 19 Electoral College Vote Must Be Postponed Until We Figure Out What's Going On With Russian Electoral Interference,POLITICS,"In a post-truth political sphere, it’s almost impossible to find consensus. Trump won the Electoral College resoundingly","Seth Abramson, ContributorAttorney; Assistant Professor at University of New Hampshire; ...",2016-12-11
https://www.huffingtonpost.com/entry/for-effective-education-p_b_7676448.html,"For Effective Education Policy, Listen to Effective Teachers",EDUCATION,At the heart of the disagreement is whether the law should include meaningful accountability for the nation's most at-risk students. A group of effective classroom teachers from across the country is joining the fray with a powerful -- and perhaps unexpected -- message.,"Teach Plus, ContributorTeacher Leadership Organization",2015-06-27
https://www.huffingtonpost.com/entry/when-procrastination-makes-you-pathetic-and-powerless_us_57fa4ab5e4b090dec0e71569,When Procrastination Makes You Powerless,IMPACT,”Why put off until tomorrow what you can do today?” I can think of at least a hundred reasons right now― all of which sound,"Rica Lewis, ContributorWriter/ Editor and Yogi (basically a flexible word nerd) who b...",2016-10-09
https://www.huffingtonpost.com/entry/david-brock-benghazi_n_5268775.html,David Brock Urges CBS To Reopen Review Of Discredited Benghazi Report,MEDIA,,Michael Calderone,2014-05-05
https://www.huffingtonpost.com/entry/vertigo-concussion_us_5b9d551de4b03a1dcc86be70,The Brain on Dizzy,WELLNESS,"With head injury, these crystals in Nellie's semicircular canals got knocked off and went rogue, rattling around, so the slightest movement, like moving her head from left to right while reading, created a feeling of ""dizziness.""","Gayatri Devi, MD, MS, Contributor
Clinical Professor of Neurology, Downstate Medical Center; Att...",2013-07-17
https://www.huffingtonpost.com/entry/guns-help-explain-difference-in-urban-and-rural-suicide-rates_us_59c52c9ce4b06ddf45f7787f,Guns Help Explain Difference In Urban And Rural Suicide Rates,HEALTHY LIVING,"In Maryland, firearm suicide rates are 66 percent higher in rural counties than in urban counties.","Lisa Rapaport, Reuters",2017-09-22
https://www.huffingtonpost.com/entry/twitter-fights-of-the-hig_b_5644426.html,"Twitter Fights of the High Renaissance: Michelangelo, Leonardo da Vinci and Savonarola",ARTS,A blog and video that recently appeared on the HuffingtonPost Arts page -- Why Leonardo Da Vinci Was A Loser (And What That Means For You) -- has apparently re-ignited a longstanding feud between Leonardo da Vinci and his frenemy Michelangelo.,"John Seed, ContributorProfessor of Art and Art History, Mt. San Jacinto College",2014-08-02
https://www.huffingtonpost.com/entry/how-2016-presidential-hopefuls-stay-fit-on-the-campaign-trail_us_55d1f6c5e4b07addcb436998,How 2016 Presidential Hopefuls Stay Fit On The Campaign Trail,HEALTHY LIVING,"For starters, they skip the pie.","Catherine Lucey, Associated Press",2015-08-17
https://www.huffingtonpost.com/entry/new-york-city-michelin-star-restaurants_us_5b9c9240e4b03a1dcc7fe8e9,New York City's Michelin Star Restaurants (PHOTOS),TRAVEL,"Traveling just a few blocks, you can't help but walk by a renowned restaurant, whether it boasts reliable, traditional fare or funky fusion that you can't find anywhere else.","Oyster.com, Contributor
The Hotel Tell-All",2012-12-14
https://www.huffingtonpost.com/entry/what-would-people-think_b_5523018.html,What Would People Think?,IMPACT,,"Frank A. Weil, ContributorChairman, Abacus & Associates, Inc.",2014-07-01
https://www.huffingtonpost.com/entry/10-ways-freelance-life-is-different-than-a-day-job_b_7020054.html,10 Ways Freelance Life Is Different Than A Day Job,BUSINESS,"Wouldn't it be grand if you could trade in the tedious predictability of the 9-to-5 grind for 100 percent control of your efforts and the resulting profits, plus the authority to give yourself as much vacation time as you need?","Lindsey Kesel, ContributorWriter, Traveler, Eco-Warrior, Jiu-Jiteiro",2015-04-07
https://www.huffingtonpost.com/entry/dying-owner-says-goodbye-to-horse_n_6125988.html,Sick Woman Granted Final Wish To Say Goodbye To Beloved Horse Hours Before Her Death,GOOD NEWS,,Kimberly Yam,2014-11-08
https://www.huffingtonpost.com/entry/ebola-zika-virus-who_us_56ad14a5e4b0010e80ea544b,What The Ebola Crisis Can Teach Us About Responding To The Zika Outbreak,THE WORLDPOST,Two public health experts explain what the world needs to do better this time.,Charlotte Alfred,2016-01-30
https://www.huffingtonpost.com/entry/al-franken-trump-final-floor-speech_us_5a3c7f7de4b025f99e160ec1,Al Franken Uses Final Senate Speech To List Trump's Lies To The American People,POLITICS,"""We're losing the war for truth.""",Rebecca Shapiro,2017-12-22
https://www.huffingtonpost.com/entry/spacex-launches-first-recycled-cargo_us_59332c19e4b0c242ca24a351,SpaceX Launches Its First Recycled Cargo Ship Into Orbit,SCIENCE,The refurbished capsule brings us one step closer to cheaper space travel.,Carla Herreria,2017-06-04
https://www.huffingtonpost.com/entry/diane-keaton-style-pictures-photos_us_5b9ca898e4b03a1dcc80a018,"Diane Keaton's Style Evolution Proves That Ties, Vests & Bowler Hats Aren't Just For Men (PHOTOS)",STYLE & BEAUTY,"For starters, she knows that if it ain't broke...",Rebecca Adams,2013-01-04
https://www.huffingtonpost.com/entry/beyonce-jay-z-style-date-photos-pictures-baby_us_5b9c6f6ae4b03a1dcc7e9cfa,Beyonce & Jay Z Date Night: The Couple Prove They're The Hippest Parents Ever (PHOTO),STYLE & BEAUTY,*sigh*,Rebecca Adams,2012-10-21
https://www.huffingtonpost.com/entry/be-authentic_us_5b9b5d64e4b03a1dcc76f39c,Are You Connecting?,WELLNESS,"This month my theme is authenticity. In my weekly vlogs, I will heighten your awareness of how deeply you connect to your inner guidance system. I invite you to ask yourself, ""How deeply am I connecting?""","Gabrielle Bernstein, Contributor
Speaker, Author of Add More ~ing to Your Life, Spirit Junkie a...",2012-02-26
https://www.huffingtonpost.com/entry/lucille-bluth-style-quotes_us_5b9d2f00e4b03a1dcc854e60,Lucille Bluth's Style Quotes Are Pretty Priceless (GIFS),STYLE & BEAUTY,"1. Find a productive way to deal with feedback. Want more? Be sure to check out HuffPost Style on Twitter, Facebook, Tumblr",Rebecca Adams,2013-05-25
https://www.huffingtonpost.com/entry/a-step-towards-stopping-t_b_6379080.html,A Step Towards Stopping the Entrapment of Domestic Abuse Victims,IMPACT,"Including the controlling of partners as a part of the definition of domestic violence aids in transferring people's attention from the question of ""why do they stay?"" to ""how can we help them leave?""","Dr. Ludy Green, Contributor",2014-12-29
https://www.huffingtonpost.com/entry/dna-photo-double-helix_us_5baeb340e4b014374e2df7d3,DNA Photo Shows Double Helix For The First Time (PHOTOS),SCIENCE,"We've sequenced it, modified it for our food, and built billion-dollar companies on it. But until now, no one has ever seen",Ryan Grenoble,2012-12-02
https://www.huffingtonpost.com/entry/defense-against-offense-trolling_b_5256035.html,Defense Against Offense: The Reality of 'Trolling' and Its Impact,COLLEGE,"In the same way that the apology has slowly begun to put the impetus of offense on the offended, it has now become the job of every Internet user to pretend to be as detached and armored as possible.","Michael Darer, ContributorStudent, Wesleyan University",2014-05-03
https://www.huffingtonpost.com/entry/fgm-vacation-cutting_n_7698730.html,Girls Are More At Risk For Female Genital Mutilation In Summer. Here's Who's Helping,IMPACT,,Eleanor Goldberg,2015-07-02
https://www.huffingtonpost.com/entry/so-that-happened-retirement_n_6768696.html,"So That Happened: Obama, Warren Team Up To Save Older America",POLITICS,,"Jason Linkins, Arthur Delaney, and Zach Carter",2015-02-28
https://www.huffingtonpost.com/entry/why-the-first-ever-world_b_10067028.html,Why The First-Ever World Humanitarian Summit Matters,IMPACT,,"Rick Leach, ContributorPresident and CEO of World Food Program USA",2016-05-22
https://www.huffingtonpost.com/entry/finding-happy-when-youre-totally-over-winter_us_5b9dd3fde4b03a1dcc8d6f62,Finding Happy When You're Totally Over Winter,PARENTING,"Whether I spent them wearing lipstick or chapstick, in a pair of snow shoes or slippers, every day of the first month of 2014 was well lived because each of those days was a gift.","Carissa K, Contributor
Mother and writer, CarissaK.com",2014-02-04
https://www.huffingtonpost.com/entry/people-pleasing_us_5b9bcde4e4b03a1dcc7a661c,People Pleasing: Not So Much A Pleasure,WELLNESS,"The people we worry about, the ones we are bouncing from one end of the spectrum to the other in order to please -- THEY ARE JUST LIKE US. Worried. Afraid.","Jenny Ingram, Contributor
Blogger, Jennyonthespot.com",2012-06-05
https://www.huffingtonpost.com/entry/home-gadgets-that-are-going-extinct_us_5b9cdfcde4b03a1dcc829a4b,8 Home Gadgets And Appliances That Are Going Extinct... Though We Still Keep Them Around,HOME & LIVING,We just can't let them go yet.,Shana Ecker,2013-02-28
https://www.huffingtonpost.com/entry/the-volga-a-russian-resta_us_5b9c2de6e4b03a1dcc7ce387,The Volga: A Russian Restaurant In Tokyo,TRAVEL,"Another officer had been telling me about a restaurant he often went to when he was in Tokyo. It was called The Volga and it was, he said, right under the Tokyo Tower.","Jim Calio, Contributor
Journalist and Producer",2012-08-24
https://www.huffpost.com/entry/trump-media-twitter-users-push-back_n_5c696903e4b033a799437931,Trump Lashes Out At The Media But Twitter Users Push Back With Fierce Replies,MEDIA,"Once again, the president called the media ""the enemy of the people.""",Carla Baranauckas,2019-02-17
https://www.huffingtonpost.com/entry/the-disgrace-of-infertility_us_5b9dc8d5e4b03a1dcc8cd87e,The Disgrace of Infertility,PARENTING,"Men don't talk often about infertility. My guess is that, if we started the conversations, a lot of guys would feel helpless.","Nate Pyle, Contributor
Writer, pastor, outdoor enthusiast",2014-01-27
https://www.huffingtonpost.com/entry/gwyneth-paltrow-aging-goop-skincare_us_56de0924e4b03a4056799dda,Why Gwyneth Paltrow 'Would Never Want To Go Back In Time',STYLE,"""I so value the life experience under my belt and my wrinkles come with that.""",Dana Oliver,2016-03-08
https://www.huffingtonpost.com/entry/global-business-leadership_b_5243847.html,Global Business Leaders to the Rescue!,BUSINESS,"Let's face it: We are living in a time that is upside down economically, environmentally and psychologically. Our weakened sense of responsibility toward one another is taking us down a road marked Dead End. Time is of the essence. Hope can be on the way.","Debbie Robins, ContributorNamed One Of The Top Leadership, Executive and Culture Coaches...",2014-05-02
https://www.huffingtonpost.com/entry/ron-dermer-frank-gaffney_us_58191790e4b0f96eba96b6bd,Israeli Ambassador To Receive Award From Group Peddling Huma Abedin Conspiracy Theories,POLITICS,Meet the new recipient of the Center for Security Policy's Freedom Flame Award: Ambassador Ron Dermer,Jessica Schulberg,2016-11-01
https://www.huffingtonpost.com/entry/jerry-kill-retiring_us_563183e8e4b0c66bae5afe92,Minnesota Coach Jerry Kill Retires After Battling Epilepsy,SPORTS,"""I feel like a part of me died.""","Dave Campbell, AP",2015-10-29
https://www.huffingtonpost.com/entry/best-kale-recipes-national-kale-day_us_5b9d90bee4b03a1dcc8995e6,It's National Kale Day! 12 Of The Best Ways To Eat It,WELLNESS,"With Halloween right around the corner, and Christmas and Hanukkah not far behind, it can be all too easy to forget what",Samantha Toscano,2013-10-02
https://www.huffingtonpost.com/entry/hasan-minhaj-white-house-correspondents-dinner_us_58ecb994e4b0ca64d9190bac,'The Daily Show's' Hasan Minhaj To Headline White House Correspondents Dinner,MEDIA,The comedian and “Muslim correspondent” has blasted President Donald Trump's anti-Muslim actions.,Michael Calderone,2017-04-11
https://www.huffingtonpost.com/entry/paul-krassners-tweets-of_us_5bad11ade4b04234e856720e,Paul Krassner's Tweets of 2012,COMEDY,This is my first tweet. I have Writer's Block. I mean Twitter's Block. I'm waiting for a cure to be developed.,"Paul Krassner, Contributor
Author and Satirist",2012-12-25
https://www.huffingtonpost.com/entry/nra-offense-cpac-florida-shooting_us_5a8f3e93e4b01e9e56b9cd8d,NRA Goes On Offense In Wake Of Florida Shooting,POLITICS,Two of its top officials deliver fiery speeches at an annual gathering of conservatives.,Igor Bobic,2018-02-23
https://www.huffingtonpost.com/entry/white-critics-three-billboards-racism_us_5a3135eae4b091ca268479f3,White Critics Love 'Three Billboards' Like They Love Their Racist Uncles,ENTERTAINMENT,"And when they won't engage with race, neither will filmmakers.",Zeba Blay,2017-12-15
https://www.huffingtonpost.com/entry/the-compassion-of-nurses_b_6965638.html,The Compassion of Nurses,GOOD NEWS,"As I lay in my hospital bed, the nurse came into my room looking unhappy. It was late at night, and I needed help. I don't recall what for, but the nurse was there to help me.","Denise Geelhart, ContributorAn over-40 stay-at-home mom who writes about motherhood and li...",2015-04-02
https://www.huffingtonpost.com/entry/paris-journal-iv-la-mecan_us_5b9d9b5ae4b03a1dcc8a19c2,Paris Journal IV: La mécanique des dessous,TRAVEL,"You would think that ""La mecanique des dessous"", subtitled ""une histoire indiscrete de la silhouette"" current on view at","Francis Levy, Contributor
Writer",2013-10-17
https://www.huffingtonpost.com/entry/string-cheese_us_5b9b9137e4b03a1dcc78b23d,What Makes String Cheese Stringy?,FOOD & DRINK,"If there's any food that should be questioned, you'd think that a string-able cheese would be high on the list. It's a cheese","Kitchen Daily, Kitchen Daily",2012-04-16
https://www.huffingtonpost.com/entry/catherine-hanaway-police-ad_us_57698630e4b099a77b6e6e9c,Here’s Yet Another Campaign Ad Implying Police Brutality Protests Are A Bad Thing,POLITICS,"It’s getting old, y’all.",Julia Craven,2016-06-21
https://www.huffingtonpost.com/entry/dan-auerbach-the-arcs-outta-my-mind_us_55edb6bde4b093be51bbd6c9,Dan Auerbach's The Arcs Get Psychedelic In New Video For 'Outta My Mind',ENTERTAINMENT,Perfect for a drive along the beach with the windows down.,E. Oliver Whitney,2015-09-08
https://www.huffingtonpost.com/entry/sterling-k-brown-idea-for-a-black-panther-this-is-us-crossover-episode_us_5a96e4f2e4b09c872bb0b1d9,Sterling K. Brown Thinks ‘Black Panther’ Can Inspire A New ‘This Is Us’ Episode,ENTERTAINMENT,Let's make it happen.,Lauren Moraski,2018-02-28
https://www.huffingtonpost.com/entry/7-guys-you-should-break-up-with-stat_b_6613750.html,"7 Guys You Should Break Up With, Stat",WOMEN,"With all of the monumental heartache, building insecurities and irreparable damage that presents itself after such said rejection, there are still certain instances when you should welcome it -- actually, you should count your lucky stars that you dodged this destructive bullet and the Gods above threw you a bone.","Lindsey Caruana, ContributorWriter and Editor",2015-02-22
https://www.huffingtonpost.com/entry/new-terminator-style-material-could-make-space-travel-safer_us_55e5dde7e4b0b7a9633a5ff9,Freaky 'Terminator'-Style Material May Lead To Safer Space Travel,SCIENCE,You simply can't leave a hole in this stuff.,Jacqueline Howard,2015-09-02
https://www.huffingtonpost.com/entry/lindsey-graham-donald-trump-genius_us_5a53a931e4b003133ecae71c,Lindsey Graham: Only One Person On Earth Will Call Donald Trump 'A Genius',MEDIA,"This was almost a really solid, sick burn.",Jenna Amatulli,2018-01-08
https://www.huffingtonpost.com/entry/preserved-prison-tattoos-poland_n_5222032.html,18 Preserved Prison Tattoos That Are Still Attached To Skin,WEIRD NEWS,,Andy Campbell,2014-04-27
https://www.huffingtonpost.com/entry/harvard-college-doesnt-honor-felons_us_59bc2d5ee4b06b71800c392a,Harvard's Rejection Of Chelsea Manning And Michelle Jones Proves Academia's Intolerance,POLITICS,The tolerance of powerful white men only goes so far.,"Alyssa Aquino, ContributorFormer Next Leader, Institute for Policy Studies.",2017-09-15
https://www.huffingtonpost.com/entry/james-comey-memo-trump_us_591b6e8de4b0a7458fa3f31e,Trump Reportedly Asked James Comey To Stop Michael Flynn Investigation,POLITICS,"“I hope you can see your way clear to letting this go,"" the president reportedly told the FBI director in February.",Mollie Reilly,2017-05-16
https://www.huffingtonpost.com/entry/panther-bots-robotics-team-racism_us_58ce3417e4b0ec9d29dcacae,Winning Fourth Grade Robotics Team Told To 'Go Back To Mexico',LATINO VOICES,The Panther Bots won't let racism get in the way of the World Championships.,Carla Herreria,2017-03-19
https://www.huffingtonpost.com/entry/tree-planting-felix-finkbeiner_us_5ab3b850e4b0decad0478b8c,This German Teen Is Leading A Global Plan To Plant A Trillion Trees,IMPACT,"Felix Finkbeiner, 19, has already planted 15 billion saplings.","John Vidal, On assignment for HuffPost",2018-03-27
https://www.huffingtonpost.com/entry/how-new-york-city-food-tr_us_5bb1a15fe4b01857b7090912,How New York City Food Trucks Helped Heal Hurricane Sandy Victims,IMPACT,"Connecting the real-time knowledge of City Agencies and FEMA working on the ground, the Mayor's Fund ultimately funded over","Megan Sheekey, Contributor
President of the Mayor's Fund to Advance New York City",2012-12-24
https://www.huffingtonpost.com/entry/bernie-sanders-obama-gun-control_us_568935b2e4b0b958f65be793,Bernie Sanders Defends Obama's Planned Executive Action On Gun Control,POLITICS,"""He’s doing what the American people would like him to do.""",Jessica Schulberg,2016-01-03
https://www.huffingtonpost.com/entry/sighioara-romania_us_5b9d98bae4b03a1dcc89f7ea,"Sighișoara, Romania",TRAVEL,"A blend of ancestral Latin identity cut with a history of Hungarian, Ottoman and Soviet imperialism, modern Romania's intoxicating composition manifests itself in language, cuisine, architecture and social cus","Robert Schrader, Contributor
Writer, Photographer, World Traveler",2013-10-19
https://www.huffingtonpost.com/entry/maggie-gyllenhaal-golden-globes-dress-2015_n_6430728.html,Maggie Gyllenhaal Looks Better Than Ever,STYLE,,Carly Ledbetter,2015-01-12
https://www.huffingtonpost.com/entry/hate-preachers-on-qatar-c_b_9785706.html,Hate Preachers on Qatar Campus: Obama Gives Qatar Undeserved A+ on Fighting Incitement,WORLDPOST,,"David Andrew Weinberg, ContributorSenior Fellow, Foundation for Defense of Democracies",2016-04-30
https://www.huffingtonpost.com/entry/euro-2012-jimmy-conrad-video-blog-day-2_us_5bb6a30ae4b097869fd21a65,Eurotrip 2012 - Day 2,SPORTS,It's been a whirlwind of seeing the sights and meeting a lot of nice and interesting people but now it's time for the games to start!,"Jimmy Conrad, Contributor
Former captain, U.S. Men's National Soccer Team",2012-06-09
https://www.huffingtonpost.com/entry/saw-honest-trailer_n_6065168.html,"'Saw' Is Basically Torture Porn, Says Honest Trailer",ENTERTAINMENT,,Dominique Mosbergen,2014-10-29
https://www.huffingtonpost.com/entry/queerview-biggest-lgbt-stories-for-the-week-ending-august-6-2015_us_55c3c008e4b0923c12bc27c4,How Jerusalem Is Coping With The Tragic Death At Pride,QUEER VOICES,And other big LGBT news stories from the past week.,James Michael Nichols,2015-08-07
https://www.huffingtonpost.com/entry/ebola-spread-across-twitter_n_5947570.html,How The Discussion Of Ebola Is Spreading Online,HEALTHY LIVING,,Avery Stone,2014-10-08
https://www.huffingtonpost.com/entry/addyson-gale-cessna-13-pound-12-ounce-baby_us_5b9d58bae4b03a1dcc86eba5,"Addyson Gale Cessna, 13 Pound 12 Ounce Baby Girl, Born In Pennsylvania (VIDEO)",PARENTING,"Known as ""fetal macrosomia,"" when a baby is born weighing more than 8 pounds, 13 ounces, this condition can be attributed",Ryan Grenoble,2013-07-14
https://www.huffingtonpost.com/entry/pregnancy-humor_us_5b9bab5de4b03a1dcc797738,S#!t You Should NEVER Say to Your Pregnant Wife!,PARENTING,"I didn't immediately start yelling at my husband. I did stare in silence for a good 5-7 seconds, giving him ample time to retract his statement. He did not. And that is when I lost my mind.","Karith Foster, Contributor
Inversity™ Engagement Specialist",2012-05-07
https://www.huffingtonpost.com/entry/doorless-refrigerator-wall-ben-de-la-roche_us_5b9c5c06e4b03a1dcc7e130c,Doorless Refrigerator Wall By Electrolux Design Lab Finalist Ben de la Roche (PHOTOS),HOME & LIVING,"Hey, here's a way to subtract a step between you and the beer.",Michelle Manetti,2012-10-04
